@RELATION riaa
@ATTRIBUTE ratio_0_9 NUMERIC
@ATTRIBUTE ratio_1_9 NUMERIC
@ATTRIBUTE ratio_2_9 NUMERIC
@ATTRIBUTE ratio_21_9 NUMERIC
@ATTRIBUTE ratio_22_9 NUMERIC
@ATTRIBUTE ratio_23_9 NUMERIC
@ATTRIBUTE ratio_4_0 NUMERIC
@ATTRIBUTE ratio_5_0 NUMERIC
@ATTRIBUTE ratio_6_0 NUMERIC
@ATTRIBUTE class {riaa_ok, riaa_ko}
@DATA
0.32188877, 0.56371593, 0.83474559, 0.29338866, 0.16435347, 0.05983512, 3.18022084, 3.31274652, 3.33596659, riaa_ok
0.57538646, 0.83048981, 1.00583279, 0.82686210, 0.70710963, 0.53069556, 1.95539021, 1.92509091, 1.90452731, riaa_ok
0.71716183, 0.85202104, 0.94572759, 0.55109382, 0.43750691, 0.30438432, 1.39047647, 1.37144494, 1.38059378, riaa_ok
0.40901515, 0.68683124, 0.92800957, 0.26748699, 0.16389041, 0.07169347, 2.66035914, 2.66858315, 2.61343527, riaa_ok
0.63432682, 0.83474684, 0.92796654, 0.58200681, 0.45014504, 0.30061653, 1.49629509, 1.48151994, 1.57180071, riaa_ok
0.37414676, 0.64847720, 0.87492591, 0.15718916, 0.07498813, 0.02274594, 2.74129462, 2.80666685, 2.92626309, riaa_ok
0.47420335, 0.68235064, 0.81511766, 0.40434515, 0.27650699, 0.15254892, 1.96983480, 2.05372190, 2.06590962, riaa_ok
0.36972010, 0.58207804, 0.75662166, 0.28560522, 0.19099639, 0.10129713, 2.38562226, 2.52376199, 2.69020724, riaa_ok
0.70175660, 0.87959194, 0.93953979, 0.67105073, 0.53742713, 0.37602177, 1.43240440, 1.43809247, 1.48496330, riaa_ok
0.73193496, 0.90896094, 0.99874645, 0.36350557, 0.24173732, 0.12132260, 1.48306155, 1.54501212, 1.56791508, riaa_ok
0.48412141, 0.64208829, 0.76138979, 0.72989827, 0.57934815, 0.40195647, 1.76226616, 1.75854135, 1.76543474, riaa_ok
0.76357329, 0.95537311, 1.04797876, 0.54776180, 0.43532965, 0.30207175, 1.44882917, 1.39939678, 1.37796402, riaa_ok
0.57263857, 0.77119654, 0.88572598, 0.55747753, 0.43038899, 0.29121253, 1.65786922, 1.65300024, 1.69953215, riaa_ok
0.80368716, 0.96205944, 1.03865635, 0.74818319, 0.64451772, 0.48335704, 1.35678816, 1.33660901, 1.36902308, riaa_ok
0.94381768, 1.16923916, 1.27256286, 0.80671829, 0.64023894, 0.45105156, 1.37088335, 1.36869097, 1.32888889, riaa_ok
0.69225198, 0.90923411, 0.99524975, 0.38482875, 0.30431789, 0.19807327, 1.45717692, 1.44488716, 1.49087083, riaa_ok
0.56558400, 0.69516796, 0.79809922, 0.63642442, 0.51920307, 0.37792391, 1.55744648, 1.60977352, 1.74214101, riaa_ok
0.80171645, 0.95346957, 0.95749635, 0.85490096, 0.70127982, 0.51640511, 1.20063412, 1.17015862, 1.18636942, riaa_ok
0.60392892, 0.82751513, 0.97204614, 0.46169797, 0.35816422, 0.24147537, 1.75638711, 1.73799050, 1.69604254, riaa_ok
0.69640046, 0.91535443, 0.97657120, 0.80357563, 0.65837854, 0.47008830, 1.45036387, 1.45173383, 1.45283866, riaa_ok
0.65751231, 0.86538929, 0.95387393, 0.73169041, 0.58407879, 0.42056417, 1.49701953, 1.47683585, 1.51080418, riaa_ok
0.23811696, 0.44017532, 0.62804949, 0.42577571, 0.30361778, 0.17101507, 3.32757998, 3.71900797, 4.13930273, riaa_ok
0.69408846, 0.92448461, 1.02375853, 0.83577591, 0.68698764, 0.50602227, 1.54673719, 1.56584311, 1.59634244, riaa_ok
0.66711134, 0.94956571, 1.11700046, 0.32291424, 0.22877805, 0.12980211, 1.69466817, 1.57956994, 1.56316233, riaa_ok
1.10410821, 1.29304159, 1.26771867, 0.95758432, 0.74771225, 0.51543874, 1.15917766, 1.18954444, 1.13808131, riaa_ok
0.51276302, 0.77070844, 0.93558085, 0.57843596, 0.44533131, 0.29168013, 1.92450809, 1.86298811, 1.92625082, riaa_ok
0.51984888, 0.71556711, 0.89093274, 0.77396733, 0.63527399, 0.46932289, 1.91829991, 1.98892736, 2.04885507, riaa_ok
